Year	Abun_micro	subplot	Cover_total	Cover_phli	Abun_seed_total	pp_mean	Trat	Cover_ex	Cover_nat	Abun_seed_ex	Abun_seed_nat	q0_total_p	q1_total_p	q2_total_p	q0_ex_p	q1_ex_p	q2_ex_p	q0_nat_p	q1_nat_p	q2_nat_p	q2_total_s	q1_total_s	q0_total_s	q0_nat_s	q1_nat_s	q2_nat_s	q0_ex_s	q1_ex_s	q2_ex_s	q01_total_s	q01_nat_s	q11_nat_s	q21_nat_s	q01_ex_s	q11_ex_s	q21_ex_s
2011	1199	11	1209	321	92	160	H	3.565436242	33.68288591	9	83	21.7342114	11.96650799	7.94874305	4.947208135	4.291374854	3.818023089	16.66706282	9.805274979	6.913896553	3.574324	6.040606	14	10	4.234048	2.761001	4	3.316299	2.88	12	9	5.724235	4.027972	3	2.277399	2.13783
2011	1020	15	841	218	70	160	H	0.165084606	25.54684276	2	68	14.06936007	5.843870633	3.974700936	1.99979177	1.993519552	1.98954125	12.67999892	5.678284559	3.924370133	2.121212	3.524847	10	8	2.71378	1.788646	2	1.889882	1.8	12	10	6.398115	4.855307	2	1.889882	1.8
2011	13	16	1806	984	92	160	WH	0.817661488	32.78822567	9	83	10.98046047	2.481582474	1.738666759	1.999090246	1.878354609	1.783271302	9.172622984	2.391396672	1.716234832	5.960563	8.477218	15	11	5.92128	4.388601	4	3.497294	3.26087	6	5	4.069887	3.631206	1	1	1
2011	13	19	2186	1138	56	160	WH	0.584551148	29.64509395	24	95	8.425061007	2.166483528	1.530460655	0	0	0	8.425061007	2.166483528	1.530460655	4.88816	7.136276	13	8	4.322305	3.056038	5	3.276269	2.647383	11	8	4.988757	4.002924	3	2.454556	2.173913
2011	0	20	1432	708	119	160	WH	0	17.41105223	5	73	8.818857482	4.400518451	3.171162453	0.999895873	0.996758578	0.994768673	8.192652338	4.330646895	3.146563291	5.622921	6.982883	10	8	5.592866	4.675573	2	1.937819	1.882353	5	4	3.129021	2.752381	1	1	1
2012	1241	3	203	40	51	62.1	H	0.252844501	6.616097767	0	57	9.706617558	4.150357153	2.809147714	1.999090059	1.878351997	1.783267499	7.627576971	3.692454885	2.640163436	2.836423	4.585293	9	9	4.585293	2.836423	0	1	0	6	4	2.744992	2.18018	2	1.889882	1.8
2012	986	6	844	97	192	62.1	H	0.809889173	31.03154305	13	182	17.53500232	4.365717416	2.398038953	4.933562164	4.428394308	4.088293105	12.78872166	3.755771922	2.239315019	2.679459	4.619448	15	10	2.973204	2.012641	5	3.800937	3.155844	14	11	5.78801	4.743259	3	2.675032	2.449275
2012	0	7	759	665	18	62.1	WH	0	6.565656566	0	64	5.124009325	1.457150149	1.17813659	0	0	0	5.124009325	1.457150149	1.17813659	4.063736	4.956208	7	7	4.956208	4.063736	0	1	0	6	5	3.598123	3.06383	1	1	1
2012	1038	11	452	42	75	62.1	H	1.622874807	14.2194745	15	71	12.9755887	8.191199188	6.501234499	2.955835872	2.307346124	2.143102268	10.1561818	6.63125869	5.4764925	6.161008	7.895746	12	9	5.724235	4.027972	3	2.277399	2.13783	8	7	3.13506	2.145408	1	1	1
2012	1031	15	59	11	104	62.1	H	0	2.051282051	2	122	5.940452727	4.119448007	3.188893896	0	0	0	5.940452727	4.119448007	3.188893896	5.135802	7.039478	12	10	6.398115	4.855307	2	1.889882	1.8	3.392523	7	4.603543	3.392523	0	0	0
2012	22	16	806	643	38	62.1	WH	0.737704918	5.942622951	6	53	12.29039525	4.304752325	2.458542701	2.985351516	2.499095697	2.170834194	9.179224449	3.566824846	2.212449344	4.540881	5.043772	6	5	4.069887	3.631206	1	1	1	9	6	3.981599	3.245754	3	2.086779	1.684211
2012	22	19	632	476	45	62.1	WH	0	14.41364606	4	101	5.553704771	2.967485934	2.082507189	0	0	0	5.553704771	2.967485934	2.082507189	4.990099	6.604667	11	8	4.988757	4.002924	3	2.454556	2.173913	10	8	2.76915	1.882135	2	1.889882	1.8
2012	3	20	643	305	88	62.1	WH	0	3.949579832	1	30	9.268488836	3.801189059	2.386265009	0	0	0	9.268488836	3.801189059	2.386265009	3.056604	3.639717	5	4	3.129021	2.752381	1	1	1	11	9	4.684104	3.243759	2	2	2
2013	821	3	816	50	28	75.6	H	1.409618574	30.34825871	4	39	18.37079128	8.510174707	5.055413386	3.974431682	3.630294405	3.372661149	14.2398784	7.331386035	4.633319342	3.239669	4.260441	6	4	2.744992	2.18018	2	1.889882	1.8	8	7	3.642535	2.373556	1	1	1
2013	558	6	1827	156	251	75.6	H	3.172147002	61.47001934	11	248	28.31290773	11.46099381	7.389437734	0.996011405	0.941227117	0.90061405	23.37525039	9.583806663	6.583108125	5.245275	6.818054	14	11	5.78801	4.743259	3	2.675032	2.449275	10	7	5.458064	4.809091	3	2.828427	2.666667
2013	0	7	1063	808	51	75.6	WH	0.606980273	20.29590288	0	40	5.8295125	3.212059559	2.534434604	0	0	0	5.8295125	3.212059559	2.534434604	3.306878	4.043619	6	5	3.598123	3.06383	1	1	1	4	3	1.79066	1.433604	1	1	1
2013	604	11	1544	128	69	75.6	H	6.61902971	46.63407296	11	68	23.34217924	11.56662433	8.491080034	4.683829105	1.883192309	1.477242022	19.4330644	9.779092858	7.190207073	2.818828	4.051934	8	7	3.13506	2.145408	1	1	1	11	8	4.085778	3.16908	3	2.279507	1.945946
2013	615	15	492	14	33	75.6	H	0.244299674	19.21824104	0	0	16.66965179	8.119780655	5.76978659	1.999090441	1.878356983	1.78327475	14.46082984	7.699823095	5.611002234	7	4.603543	3.392523	7	4.603543	3.392523	0	0	0	8	6	3.201833	2.197802	2	1.889882	1.8
2013	235	16	1238	781	65	75.6	WH	0.772797527	16.88562597	2	90	13.82875	8.410521847	6.747750607	0	0	0	13.82875	8.410521847	6.747750607	4.06641	5.339753	9	6	3.981599	3.245754	3	2.086779	1.684211	7	5	3.870074	3.375	2	1.889882	1.8
2013	235	19	1304	753	26	75.6	WH	0.041736227	19.94991653	10	163	12.69298177	4.677030429	3.110983381	0	0	0	12.69298177	4.677030429	3.110983381	2.239831	3.604772	10	8	2.76915	1.882135	2	1.889882	1.8	7	6	3.705269	2.635036	1	1	1
2013	2	20	1012	533	171	75.6	WH	0.039824771	10.11549184	2	84	10.52927437	5.083589449	3.67064778	0	0	0	10.52927437	5.083589449	3.67064778	3.775036	5.768135	11	9	4.684104	3.243759	2	2	2	5	4	3.307789	3.130293	1	1	1
2014	842	3	84	0	44	45.4	H	0	3.456790123	1	43	6.920795032	3.236638258	2.122686067	0	0	0	6.920795032	3.236638258	2.122686067	2.482051	3.94233	8	7	3.642535	2.373556	1	1	1	5	4	2.211631	1.640777	1	1	1
2014	469	6	117	4	50	45.4	H	0.249376559	4.447215295	4	46	13.96926373	9.921115863	8.136622448	1.996843969	1.927617324	1.874110189	12.98040494	9.08235216	7.489564619	5.605381	6.843324	10	7	5.458064	4.809091	3	2.828427	2.666667	10	8	5.465944	4.089362	2	1.889882	1.8
2014	55	7	108	100	33	45.4	WH	0	1.684470008	1	23	2.767316259	1.338298636	1.151146284	0	0	0	2.767316259	1.338298636	1.151146284	1.556757	2.078227	4	3	1.79066	1.433604	1	1	1	5	4	3.424418	3.072727	1	1	1
2014	624	11	223	32	109	45.4	H	0.666666667	7.291666667	9	100	14.64775613	10.00332355	8.14221384	2.993570576	2.624939114	2.428953817	11.66437762	8.377386019	7.09506773	3.904371	5.419345	11	8	4.085778	3.16908	3	2.279507	1.945946	12	9	5.598839	3.672489	3	2.828427	2.666667
2014	712	15	14	0	23	45.4	H	0	0.582847627	1	22	3.99752621	3.564168538	3.239000702	0	0	0	3.99752621	3.564168538	3.239000702	2.828877	4.402486	8	6	3.201833	2.197802	2	1.889882	1.8	4	4	3.626443	3.27027	0	1	0
2014	122	16	113	72	21	45.4	WH	0.167574361	1.55006284	3	18	10.94681282	4.064341742	2.343568138	1.999791663	1.993515755	1.989535096	8.926547639	3.554738837	2.181713896	4.366337	5.264551	7	5	3.870074	3.375	2	1.889882	1.8	4	4	3.796509	3.648276	0	1	0
2014	122	19	224	183	24	45.4	WH	0	1.208333333	2	19	3.436374814	1.760249603	1.43088245	0	0	0	3.436374814	1.760249603	1.43088245	3.12766	4.479491	7	6	3.705269	2.635036	1	1	1	6	5	4.465655	4.081633	1	1	1
2014	30	20	31	2	21	45.4	WH	0	0.333333333	0	33	6.992189838	5.755629501	4.936926666	0	0	0	6.992189838	5.755629501	4.936926666	3.501608	3.866733	5	4	3.307789	3.130293	1	1	1	5	3	2.818483	2.688889	2	2	2
2015	311	3	232	13	15	161.4	H	0.041666667	9.083333333	0	15	10.65367159	6.034606398	4.442625196	0.618021999	0.618021999	0.618021999	9.14273365	5.779867878	4.323301133	2.102804	2.94637	5	4	2.211631	1.640777	1	1	1	10	8	2.670536	2.018601	2	1.569193	1.384615
2015	78	6	216	10	34	161.4	H	0.166666667	8.416666667	1	33	24.54762083	10.9579852	7.339568082	3.933994949	2.321075705	1.803974399	22.63511354	9.985516106	6.896958759	4.816667	6.707758	10	8	5.465944	4.089362	2	1.889882	1.8	18	17	5.950968	3.407427	1	1	1
2015	16	7	34	19	15	161.4	WH	0	2.5	1	13	13.4195903	2.945434395	1.704983349	0.789374926	0.789374926	0.789374926	12.89664188	2.922361869	1.701087527	3.5	4.056525	5	4	3.424418	3.072727	1	1	1	4	4	2.82241	2.428571	0	1	0
2015	187	11	73	3	33	161.4	H	0	2.928870293	2	31	9.63442887	5.335176509	3.623315592	0	0	0	9.63442887	5.335176509	3.623315592	4.634043	7.456783	12	9	5.598839	3.672489	3	2.828427	2.666667	16	13	2.088944	1.364031	3	1.828582	1.536476
2015	174	15	25	2	11	161.4	H	0	0.958333333	0	11	7.374739583	6.719885014	6.201399134	0	0	0	7.374739583	6.719885014	6.201399134	3.27027	3.626443	4	4	3.626443	3.27027	0	1	0	7	6	3.118285	2.270315	1	1	1
2015	18	16	117	30	23	161.4	WH	0	3.625	0	23	19.56622144	4.492556399	2.374200492	2.982514884	2.741663589	2.576105912	16.50277166	4.156449103	2.296889559	3.648276	3.796509	4	4	3.796509	3.648276	0	1	0	5	4	2.501851	1.931429	1	1	1
2015	18	19	115	55	14	161.4	WH	0	8.583333333	0	22	17.47973379	4.830317711	2.737111381	3.996778268	3.343109489	2.887084491	13.80671601	4.513372715	2.664298081	4.745098	5.285748	6	5	4.465655	4.081633	1	1	1	14	10	5.498794	4.208851	4	3.173459	2.851485
2015	1	20	267	61	22	161.4	WH	0	0.625	2	13	13.16292867	4.741142372	3.048856157	0	0	0	12.75951449	4.708619016	3.040897634	4.245283	4.59346	5	3	2.818483	2.688889	2	2	2	8	5	4.298544	3.834783	3	2.828427	2.666667
2016	1031	3	156	32	139	122.4	H	0.166666667	5	1	138	7.74417009	5.241365548	4.531935246	0.997839013	0.962046616	0.935601552	6.713878721	4.84449697	4.307946765	2.198316	3.118039	10	8	2.670536	2.018601	2	1.569193	1.384615	10	6	2.583793	2.093839	4	2.672696	2.057143
2016	852	6	665	162	171	122.4	H	1.916666667	19.04166667	9	162	18.34799516	8.253696183	6.073757628	5.959038012	3.410648704	2.644103263	14.32752176	6.757613432	5.210612664	3.757035	6.65837	18	17	5.950968	3.407427	1	1	1	16	13	8.615143	6.55665	3	1.589491	1.292929
2016	107	7	331	304	25	122.4	WH	0	5.958333333	0	17	6.818524583	1.649181168	1.285959324	0	0	0	6.818524583	1.649181168	1.285959324	2.428571	2.82241	4	4	2.82241	2.428571	0	1	0	12	9	6.40766	5.081752	3	2.279507	1.945946
2016	996	11	480	199	264	122.4	H	2.163061564	9.525790349	30	234	16.02083249	7.057157747	4.491095146	1.932319938	1.167691693	1.072190275	14.09667201	5.973377824	3.754186602	1.802421	3.074802	16	13	2.088944	1.364031	3	1.828582	1.536476	16	12	4.585381	2.767462	4	2.435791	1.99187
2016	936	15	83	10	40	122.4	H	0	3.041666667	0	40	8.944457041	5.482947887	3.892326518	0	0	0	8.944457041	5.482947887	3.892326518	2.614379	3.73733	7	6	3.118285	2.270315	1	1	1	5	4	2.139892	1.60396	1	1	1
2016	59	16	384	238	27	122.4	WH	0.833333333	5.25	1	26	10.24798647	2.120895569	1.520670308	1.983972007	1.6422596	1.460017203	8.191880007	1.912446473	1.453890904	2.076923	2.8334	5	4	2.501851	1.931429	1	1	1	11	8	5.888799	4.870531	3	2.828427	2.666667
2016	59	19	423	280	17	122.4	WH	0	6.213511259	9	199	4.884727801	2.185691106	1.670702314	0	0	0	4.884727801	2.185691106	1.670702314	5.246665	7.379666	14	10	5.498794	4.208851	4	3.173459	2.851485	7	6	4.675562	3.905405	1	1	1
2016	64	20	392	243	208	122.4	WH	0	1.125	4	21	4.198087847	2.561162692	2.286370011	0.820301082	0.820301082	0.820301082	4.198087847	2.561162692	2.286370011	5.165289	6.239982	8	5	4.298544	3.834783	3	2.828427	2.666667	8	7	4.689955	3.692308	1	1	1
2017	1269	3	1094	206	106	357.3	H	0.166666667	36.83333333	4	102	8.980677577	4.988328628	3.679568601	0.997839013	0.962046616	0.935601552	8.266490305	4.86782573	3.630175565	2.619114	3.69233	10	6	2.583793	2.093839	4	2.672696	2.057143	15	12	3.407696	2.593222	3	1.931117	1.582617
2017	1127	6	1322	248	217	357.3	H	2.181208054	42.86912752	90	127	23.80059354	7.543002758	4.914410298	0	0	0	18.36635673	6.326606246	4.422673126	5.030339	8.103694	16	13	8.615143	6.55665	3	1.589491	1.292929	17	13	5.94441	4.278153	4	2.842028	2.63586
2017	243	7	1011	840	28	357.3	WH	0	10.02842063	9	62	12.19867456	3.229192805	1.917996807	0	0	0	12.19867456	3.229192805	1.917996807	6.641634	8.475093	12	9	6.40766	5.081752	3	2.279507	1.945946	8	7	4.023555	3.306878	1	1	1
2017	1205	11	849	339	149	357.3	H	1.043405676	20.24207012	25	124	17.85560836	8.388937627	5.015068572	0	0	0	14.2683496	7.517320683	4.704444307	4.180192	6.816896	16	12	4.585381	2.767462	4	2.435791	1.99187	12	8	2.950391	2.061194	4	3.783419	3.61194
2017	1225	15	531	60	20	357.3	H	0	19.625	0	20	12.56437627	4.916365844	3.327603984	0	0	0	12.56437627	4.916365844	3.327603984	1.941748	2.74495	5	4	2.139892	1.60396	1	1	1	9	8	3.460125	2.715227	1	1	1
2017	59	16	994	731	75	357.3	WH	0.248344371	10.63741722	2	73	17.99068982	4.40972524	2.75558194	1.983222328	1.7429236	1.584742758	15.96729801	4.187396633	2.694343672	5.403458	6.973774	11	8	5.888799	4.870531	3	2.828427	2.666667	10	7	1.544785	1.199363	3	1.624345	1.322404
2017	59	19	1218	971	71	357.3	WH	0	19.58333333	0	39	18.96435967	5.032247278	3.08027114	3.989466698	3.324362709	3.146186986	15.65510832	4.710068518	2.996836842	4.738318	5.626979	7	6	4.675562	3.905405	1	1	1	8	6	3.390638	2.881221	2	1.506993	1.324324
2017	140	20	930	458	39	357.3	WH	0	7.125	4	24	10.91936056	3.929617492	2.972726086	0	0	0	9.323102725	3.750325871	2.911048772	4.55814	5.667593	8	7	4.689955	3.692308	1	1	1	7	5	4.154011	3.870796	2	1.889882	1.8
2018	1809	3	0	0	356	81.6	H	0	0	16	340	0	0	0	0	0	0	0	0	0	3.943494	5.217489	15	12	3.407696	2.593222	3	1.931117	1.582617	5	3	1.744812	1.408696	2	1.889882	1.8
2018	1403	6	0	0	326	81.6	H	0	0	125	201	0	0	0	0	0	0	0	0	0	6.76228	8.468433	17	13	5.94441	4.278153	4	2.842028	2.63586	9	5	2.518404	1.816415	4	3.457979	3.102564
2018	61	7	0	0	93	81.6	WH	0.162206002	7.055961071	0	56	10.85399688	3.713615106	2.213564492	0	0	0	10.85399688	3.713615106	2.213564492	3.959596	4.872002	8	7	4.023555	3.306878	1	1	1	3	3	2.086779	1.684211	0	1	0
2018	1442	11	399	54	301	81.6	H	1.013513514	13.55574324	17	284	16.08454413	9.102652959	7.128293886	2.985555403	2.481399875	2.292342988	13.05424002	7.759114612	6.354988309	2.390591	3.902718	12	8	2.950391	2.061194	4	3.783419	3.61194	9	6	2.496947	1.854962	3	3	3
2018	1756	15	0	0	226	81.6	H	0	0	0	226	0	0	0	0	0	0	0	0	0	3.252006	4.237324	9	8	3.460125	2.715227	1	1	1	4	3	2.489231	2.30084	1	1	1
2018	33	16	488	241	204	81.6	WH	0.08312552	10.18287614	20	184	13.63360567	3.995454668	2.334112295	2.969929949	1.840082842	1.49342554	11.15965451	3.578899674	2.204828209	1.487136	2.186457	10	7	1.544785	1.199363	3	1.624345	1.322404	5	4	3.095826	2.82521	1	1	1
2018	33	19	377	199	56	81.6	WH	0	0	6	84	16.74398172	4.525839032	2.509679078	2.999183887	2.815279047	2.64829459	14.16488387	4.312731141	2.464500463	3.336079	4.183952	8	6	3.390638	2.881221	2	1.506993	1.324324	6	6	4.721018	3.767442	0	1	0
2018	92	20	0	0	90	81.6	WH	0	0	8	85	12.039681	4.90141212	3.33848587	1.995072775	1.49763885	1.314943674	11.17319622	4.802718721	3.308799689	4.872676	5.512381	7	5	4.154011	3.870796	2	1.889882	1.8	4	3	2.60049	2.333333	1	1	1
2019	1036	3	0	0	21	23.2	H	0	0	3	18	0	0	0	0	0	0	0	0	0	1.876596	2.659592	5	3	1.744812	1.408696	2	1.889882	1.8	999	999	999	999	999	999	999
2019	810	6	0	0	40	23.2	H	0	0	6	34	0	0	0	0	0	0	0	0	0	3.187251	4.948009	9	5	2.518404	1.816415	4	3.457979	3.102564	999	999	999	999	999	999	999
2019	10	7	4	2	15	23.2	WH	0	2.539550375	0	8	10.72091136	2.811379773	1.788593223	0	0	0	10.72091136	2.811379773	1.788593223	1.684211	2.086779	3	3	2.086779	1.684211	0	1	0	999	999	999	999	999	999	999
2019	981	11	27	0	57	23.2	H	0.083333333	1.041666667	2	55	3.989431505	2.722904125	2.194285102	0.999895873	0.996758578	0.994768673	2.98173103	2.232834304	1.912365323	2.062857	3.098509	9	6	2.496947	1.854962	3	3	3	999	999	999	999	999	999	999
2019	834	15	0	0	38	23.2	H	0	0	0	38	0.999895873	0.996758578	0.994768673	0	0	0	0.999895873	0.996758578	0.994768673	2.422819	2.744687	4	3	2.489231	2.30084	1	1	1	999	999	999	999	999	999	999
2019	82	16	68	39	42	23.2	WH	0.041736227	1.168614357	1	41	20.31046231	5.776562492	3.101976513	2.955163029	1.933638575	1.558413534	17.22420095	5.047613819	2.856412848	2.959732	3.372534	5	4	3.095826	2.82521	1	1	1	999	999	999	999	999	999	999
2019	82	19	61	0	8	23.2	WH	0	0	0	18	18.57891272	6.442913964	4.153373514	2.997859437	2.283899343	1.889502569	15.41103734	5.904193931	3.971377548	3.767442	4.721018	6	6	4.721018	3.767442	0	1	0	999	999	999	999	999	999	999
2019	8	20	0	0	18	23.2	WH	0	0.083333333	1	14	14.22055605	6.055024983	3.685538997	0.997839113	0.962047919	0.935603829	14.22055605	6.055024983	3.685538997	2.647059	3.117142	4	3	2.60049	2.333333	1	1	1	999	999	999	999	999	999	999
